,model,params,score,train_time,test_time
55,Logistic Regression,"('l2', 'saga', 1.438449888287663)",33.333,0.27257623500190675,0.1615754129961715
56,Logistic Regression,"('l2', 'saga', 2.3357214690901213)",33.333,0.4349218290008139,0.15860099400015315
57,Logistic Regression,"('l2', 'saga', 3.792690190732246)",33.333,0.5841710860040621,0.16638640600285726
58,Logistic Regression,"('l2', 'saga', 6.158482110660261)",33.333,0.7686276120002731,0.16274722199887037
59,Logistic Regression,"('l2', 'saga', 10.0)",33.333,1.031314667998231,0.1617363010009285
60,Logistic Regression,"('l2', 'liblinear', 0.001)",23.81,0.03539248200104339,0.15998174400010612
61,Logistic Regression,"('l2', 'liblinear', 0.001623776739188721)",38.095,0.038077668999903835,0.1592763049993664
62,Logistic Regression,"('l2', 'liblinear', 0.0026366508987303583)",33.333,0.03824469500250416,0.16058877599425614
63,Logistic Regression,"('l2', 'liblinear', 0.004281332398719396)",38.095,0.03863355600333307,0.16049214300437598
64,Logistic Regression,"('l2', 'liblinear', 0.0069519279617756054)",38.095,0.03778437599976314,0.16044839399546618
65,Logistic Regression,"('l2', 'liblinear', 0.011288378916846888)",38.095,0.04016121000313433,0.15972499599592993
66,Logistic Regression,"('l2', 'liblinear', 0.018329807108324356)",38.095,0.04553171300358372,0.1576147769956151
67,Logistic Regression,"('l2', 'liblinear', 0.029763514416313176)",38.095,0.04642739400151186,0.15960684700257843
68,Logistic Regression,"('l2', 'liblinear', 0.04832930238571752)",38.095,0.048113598000782076,0.17369350799708627
69,Logistic Regression,"('l2', 'liblinear', 0.07847599703514611)",33.333,0.0553065610001795,0.16153647500323132
70,Logistic Regression,"('l2', 'liblinear', 0.12742749857031335)",33.333,0.061620934000529815,0.1586310919956304
71,Logistic Regression,"('l2', 'liblinear', 0.20691380811147903)",33.333,0.06612628499715356,0.16110874799778685
72,Logistic Regression,"('l2', 'liblinear', 0.3359818286283781)",33.333,0.06911614700220525,0.15890524700080277
73,Logistic Regression,"('l2', 'liblinear', 0.5455594781168515)",33.333,0.07121067499974743,0.16088540500641102
74,Logistic Regression,"('l2', 'liblinear', 0.8858667904100823)",33.333,0.0749040340015199,0.1578558709952631
75,Logistic Regression,"('l2', 'liblinear', 1.438449888287663)",33.333,0.08382458800042514,0.15819717100384878
76,Logistic Regression,"('l2', 'liblinear', 2.3357214690901213)",33.333,0.07798150299640838,0.1588511690060841
77,Logistic Regression,"('l2', 'liblinear', 3.792690190732246)",33.333,0.08577657999558141,0.16061657200043555
78,Logistic Regression,"('l2', 'liblinear', 6.158482110660261)",33.333,0.08234735600126442,0.16032309000001987
79,Logistic Regression,"('l2', 'liblinear', 10.0)",33.333,0.10459351600002265,0.15898932400159538
80,Random Forest Classifier,"(100, 10, 2, 1, 'auto')",33.333,1.3682800790047622,0.3409315070020966
81,Random Forest Classifier,"(100, 10, 2, 1, 'sqrt')",33.333,1.38115064700105,0.33065542899566935
82,Random Forest Classifier,"(100, 10, 2, 1, 'log2')",33.333,1.1623576089987182,0.3283094969956437
83,Random Forest Classifier,"(100, 10, 2, 3, 'auto')",33.333,1.3727524659989285,0.33523427399632055
84,Random Forest Classifier,"(100, 10, 2, 3, 'sqrt')",33.333,1.4073002570003155,0.34663025999907404
85,Random Forest Classifier,"(100, 10, 2, 3, 'log2')",38.095,1.189105131998076,0.3288948920016992
86,Random Forest Classifier,"(100, 10, 2, 5, 'auto')",38.095,1.3653597009979421,0.3339940649966593
87,Random Forest Classifier,"(100, 10, 2, 5, 'sqrt')",38.095,1.4018239919969346,0.3252916269993875
88,Random Forest Classifier,"(100, 10, 2, 5, 'log2')",33.333,1.142659552002442,0.32906907299911836
89,Random Forest Classifier,"(100, 10, 4, 1, 'auto')",38.095,1.4059882239962462,0.3370746680011507
90,Random Forest Classifier,"(100, 10, 4, 1, 'sqrt')",38.095,1.3979985439946176,0.3401807620030013
91,Random Forest Classifier,"(100, 10, 4, 1, 'log2')",38.095,1.1863146809992031,0.3398867169962614
